WL,Al,WL,Cr,WL,Cu,WL,Au
375.76583,0.73838,375.76583,0.61552,375.76583,0.6223,375.76583,0.97002
375.85111,0.75112,375.85111,0.62011,375.85111,0.62903,375.85111,0.97141
375.93644,0.7641,375.93644,0.62479,375.93644,0.63591,375.93644,0.9721
376.0218,0.77727,376.0218,0.62956,376.0218,0.64294,376.0218,0.97208
376.1072,0.7906,376.1072,0.63441,376.1072,0.65012,376.1072,0.97134
376.19264,0.80403,376.19264,0.63935,376.19264,0.65745,376.19264,0.96987
376.27812,0.8175,376.27812,0.64437,376.27812,0.66493,376.27812,0.96767
376.36364,0.83095,376.36364,0.64948,376.36364,0.67255,376.36364,0.96476
376.44919,0.84431,376.44919,0.65468,376.44919,0.68033,376.44919,0.96114
376.53479,0.85749,376.53479,0.65996,376.53479,0.68824,376.53479,0.95682
376.62042,0.87041,376.62042,0.66532,376.62042,0.6963,376.62042,0.95183
376.7061,0.88298,376.7061,0.67077,376.7061,0.7045,376.7061,0.94619
376.79181,0.89509,376.79181,0.6763,376.79181,0.71283,376.79181,0.93992
376.87756,0.90666,376.87756,0.68191,376.87756,0.7213,376.87756,0.93305
376.96335,0.91757,376.96335,0.6876,376.96335,0.72989,376.96335,0.92562
377.04918,0.92772,377.04918,0.69337,377.04918,0.73861,377.04918,0.91765
377.13505,0.937,377.13505,0.69921,377.13505,0.74744,377.13505,0.90919
377.22096,0.94532,377.22096,0.70513,377.22096,0.75637,377.22096,0.90027
377.3069,0.95258,377.3069,0.71112,377.3069,0.7654,377.3069,0.89094
377.39289,0.95868,377.39289,0.71718,377.39289,0.77453,377.39289,0.88122
377.47891,0.96356,377.47891,0.72331,377.47891,0.78373,377.47891,0.87117
377.56498,0.96714,377.56498,0.7295,377.56498,0.79299,377.56498,0.86082
377.65108,0.96937,377.65108,0.73575,377.65108,0.80232,377.65108,0.85021
377.73723,0.97021,377.73723,0.74206,377.73723,0.81168,377.73723,0.83938
377.82341,0.96964,377.82341,0.74842,377.82341,0.82106,377.82341,0.82837
377.90963,0.96765,377.90963,0.75482,377.90963,0.83045,377.90963,0.81722
377.99589,0.96426,377.99589,0.76127,377.99589,0.83984,377.99589,0.80596
378.08219,0.95949,378.08219,0.76775,378.08219,0.84919,378.08219,0.79463
