Wavelength (nm),0 deg,14 deg,28 deg,42 deg,56 deg,70 deg,84 deg
382.27147,0.86616,0.70064,0.56304,0.44065,0.35778,0.30981,0.275
382.35973,0.85571,0.69339,0.55842,0.43819,0.35657,0.30917,0.27493
382.44804,0.84511,0.68635,0.554,0.43585,0.35542,0.30857,0.27487
382.53638,0.83439,0.67954,0.54979,0.43363,0.35434,0.30799,0.27482
382.62477,0.82358,0.67296,0.54577,0.43152,0.35331,0.30744,0.27478
382.7132,0.81271,0.66661,0.54196,0.42953,0.35235,0.30692,0.27475
382.80166,0.80181,0.66049,0.53833,0.42766,0.35145,0.30643,0.27473
382.89017,0.7909,0.65461,0.5349,0.4259,0.3506,0.30596,0.27473
382.97872,0.78001,0.64896,0.53167,0.42426,0.34982,0.30552,0.27473
383.06731,0.76915,0.64355,0.52863,0.42272,0.34909,0.30512,0.27475
383.15595,0.75835,0.63837,0.52577,0.4213,0.34842,0.30474,0.27477
383.24462,0.74762,0.63343,0.52311,0.41999,0.34782,0.30438,0.27481
383.33333,0.73698,0.62873,0.52064,0.41879,0.34727,0.30406,0.27486
383.42209,0.72646,0.62425,0.51835,0.4177,0.34678,0.30377,0.27492
383.51088,0.71606,0.62001,0.51625,0.41672,0.34636,0.3035,0.275
383.59972,0.70579,0.61599,0.51433,0.41585,0.34599,0.30327,0.27508
383.6886,0.69568,0.61219,0.5126,0.41509,0.34569,0.30306,0.27518
383.77752,0.68572,0.60861,0.51105,0.41445,0.34545,0.30289,0.27529
383.86648,0.67593,0.60524,0.50968,0.41391,0.34527,0.30274,0.27542
383.95548,0.66632,0.60207,0.50849,0.41349,0.34516,0.30263,0.27556
384.04453,0.65689,0.59909,0.50748,0.41319,0.34511,0.30255,0.27571
384.13361,0.64765,0.5963,0.50665,0.413,0.34514,0.30251,0.27587
384.22274,0.6386,0.59369,0.50599,0.41292,0.34523,0.3025,0.27605
384.31191,0.62976,0.59124,0.50551,0.41296,0.34539,0.30252,0.27624
384.40111,0.62112,0.58893,0.50519,0.41312,0.34562,0.30258,0.27645
384.49036,0.61268,0.58676,0.50504,0.4134,0.34593,0.30268,0.27667
384.57966,0.60445,0.58471,0.50505,0.4138,0.34631,0.30282,0.27691
384.66899,0.59643,0.58275,0.50521,0.41432,0.34677,0.303,0.27717
384.75836,0.58862,0.58087,0.50552,0.41496,0.34731,0.30322,0.27744
384.84778,0.58102,0.57904,0.50597,0.41572,0.34794,0.30349,0.27773
384.93724,0.57363,0.57725,0.50655,0.41661,0.34865,0.3038,0.27803
385.02674,0.56646,0.57546,0.50724,0.41761,0.34944,0.30416,0.27835
