WL,Inf. Array,3x3,12x12,6x6,27x27
458.59873,0.46241,0.46146,0.5459,0.54219,0.56628
458.72576,0.46336,0.46241,0.53653,0.53286,0.55582
458.85287,0.46431,0.46336,0.52771,0.52414,0.5459
458.98004,0.46526,0.46431,0.51945,0.51603,0.53653
459.10729,0.46621,0.46526,0.51175,0.50854,0.52771
459.23461,0.46716,0.46621,0.50461,0.50168,0.51945
459.362,0.46812,0.46716,0.49801,0.49545,0.51175
459.48946,0.46907,0.46812,0.49195,0.48983,0.50461
459.61699,0.47002,0.46907,0.48642,0.48484,0.49801
459.74459,0.47098,0.47002,0.48142,0.48047,0.49195
459.87226,0.47193,0.47098,0.47693,0.47671,0.48642
460,0.47288,0.47193,0.47295,0.47356,0.49195
