Wavelength (nm),0 Deg,14 Deg,28 Deg,42 Deg,56 Deg,70 Deg,84 Deg
379.20769,0.94405,0.60042,0.73613,0.90093,0.98169,0.95243,0.63853
379.29455,0.95101,0.60771,0.74592,0.90757,0.9831,0.94683,0.6417
379.38144,0.95759,0.61527,0.75544,0.91323,0.98417,0.94146,0.64516
379.46838,0.96375,0.62311,0.76459,0.91789,0.985,0.93641,0.6489
379.55535,0.96948,0.63124,0.77328,0.92158,0.98565,0.93175,0.65292
379.64237,0.97473,0.63965,0.78144,0.92435,0.98622,0.92755,0.65722
379.72942,0.97949,0.64833,0.789,0.92628,0.98675,0.92385,0.66179
379.81651,0.98373,0.65729,0.79592,0.92748,0.98728,0.92069,0.66663
379.90365,0.98741,0.66651,0.8022,0.92809,0.98784,0.91809,0.67173
379.99082,0.99053,0.67597,0.80787,0.92825,0.98842,0.91606,0.6771
380.07804,0.99305,0.68565,0.81297,0.92812,0.98901,0.91461,0.68272
380.16529,0.99497,0.69551,0.81758,0.92783,0.98959,0.91372,0.6886
380.25258,0.99627,0.70554,0.82178,0.9275,0.99013,0.9134,0.69473
380.33992,0.99693,0.71571,0.82568,0.92726,0.99059,0.91361,0.7011
380.42729,0.99695,0.72598,0.82938,0.92718,0.99092,0.91434,0.70771
380.51471,0.99632,0.73634,0.83297,0.92734,0.99107,0.91555,0.71456
380.60216,0.99504,0.74675,0.83652,0.92778,0.99101,0.91722,0.72163
380.68966,0.99311,0.75719,0.84013,0.92853,0.99068,0.91931,0.72891
380.77719,0.99053,0.76766,0.84383,0.92961,0.99005,0.92178,0.73641
380.86477,0.98732,0.77812,0.84767,0.93101,0.98907,0.9246,0.74412
380.95238,0.98348,0.78856,0.85169,0.93272,0.98771,0.92772,0.75201
381.04004,0.97903,0.79897,0.8559,0.93472,0.98594,0.9311,0.76009
381.12773,0.97398,0.80933,0.8603,0.93699,0.98373,0.9347,0.76834
381.21547,0.96836,0.81963,0.8649,0.93948,0.98106,0.93849,0.77674
381.30325,0.96219,0.82985,0.86968,0.94217,0.9779,0.94241,0.78529
381.39106,0.95549,0.83997,0.87464,0.94502,0.97425,0.94642,0.79397
381.47892,0.94829,0.84997,0.87974,0.94799,0.97009,0.95049,0.80277
381.56682,0.94062,0.85985,0.88498,0.95104,0.96542,0.95458,0.81166
381.65476,0.93252,0.86957,0.89033,0.95413,0.96022,0.95863,0.82063
381.74274,0.924,0.87912,0.89575,0.95723,0.95451,0.96263,0.82966
381.83076,0.91511,0.88848,0.90123,0.9603,0.94829,0.96652,0.83873
381.91882,0.90587,0.89761,0.90674,0.96331,0.94155,0.97027,0.84782
382.00692,0.89632,0.90651,0.91225,0.96623,0.93432,0.97385,0.8569
382.09506,0.8865,0.91513,0.91774,0.96901,0.92661,0.97721,0.86594
382.18324,0.87644,0.92347,0.92317,0.97165,0.91842,0.98034,0.87493
382.27147,0.86616,0.93148,0.92852,0.9741,0.90979,0.9832,0.88384
382.35973,0.85571,0.93914,0.93376,0.97633,0.90072,0.98576,0.89263
382.44804,0.84511,0.94644,0.93888,0.97834,0.89123,0.98799,0.90128
382.53638,0.83439,0.95333,0.94383,0.98009,0.88136,0.98988,0.90975
382.62477,0.82358,0.95979,0.94861,0.98157,0.87112,0.99139,0.91803
