Wavelength (nm),Ring,Ring,Trophozoite,Schizont
405.28634,0.25147,0.2647,0.28034,0.29402
405.38556,0.25063,0.26371,0.27919,0.29266
405.48482,0.24982,0.26274,0.27806,0.29133
405.58413,0.24903,0.2618,0.27696,0.29003
405.68349,0.24825,0.26088,0.27589,0.28877
405.7829,0.2475,0.25998,0.27484,0.28754
405.88235,0.24677,0.25911,0.27383,0.28635
405.98186,0.24606,0.25826,0.27284,0.28518
406.08141,0.24536,0.25744,0.27187,0.28405
406.18102,0.24469,0.25664,0.27093,0.28294
406.28067,0.24403,0.25585,0.27001,0.28187
406.38037,0.2434,0.25509,0.26912,0.28082
406.48012,0.24277,0.25435,0.26825,0.2798
406.57992,0.24217,0.25363,0.2674,0.2788
406.67976,0.24158,0.25293,0.26657,0.27783
406.77966,0.24102,0.25224,0.26577,0.27688
406.87961,0.24046,0.25158,0.26498,0.27596
406.9796,0.23992,0.25093,0.26422,0.27507
407.07965,0.2394,0.2503,0.26347,0.27419
407.17974,0.2389,0.24969,0.26274,0.27334
407.27988,0.23841,0.2491,0.26204,0.27251
407.38007,0.23793,0.24852,0.26135,0.2717
407.48031,0.23747,0.24796,0.26067,0.27091
407.58061,0.23703,0.24742,0.26002,0.27014
407.68095,0.23659,0.24689,0.25938,0.26939
407.78133,0.23618,0.24638,0.25876,0.26866
407.88177,0.23577,0.24588,0.25816,0.26795
407.98226,0.23538,0.2454,0.25757,0.26726
408.0828,0.23501,0.24493,0.257,0.26659
408.18339,0.23465,0.24448,0.25645,0.26593
408.28402,0.2343,0.24404,0.25591,0.26529
408.38471,0.23396,0.24362,0.25538,0.26467
408.48545,0.23364,0.24321,0.25487,0.26406
408.58623,0.23333,0.24282,0.25437,0.26347
408.68707,0.23303,0.24243,0.25389,0.2629
408.78795,0.23275,0.24206,0.25342,0.26234
408.88889,0.23248,0.24171,0.25297,0.26179
408.98987,0.23222,0.24137,0.25253,0.26126
409.09091,0.23197,0.24104,0.2521,0.26075
409.19199,0.23174,0.24072,0.25169,0.26025
409.29313,0.23152,0.24041,0.25128,0.25976
409.39431,0.23131,0.24012,0.2509,0.25929
