Wavelength (nm),0.5 nm,1 nm,2 nm,3 nm,4 nm,5 nm ,10 nm
373.56192,0.47084,0.44193,0.43079,0.43257,0.4496,0.51691,0.78784
373.64621,0.47378,0.44389,0.43205,0.43325,0.44955,0.51587,0.78934
373.73053,0.4768,0.44592,0.43336,0.43398,0.44953,0.51487,0.79088
373.8149,0.47991,0.44801,0.43471,0.43474,0.44954,0.51389,0.79247
373.8993,0.4831,0.45017,0.43612,0.43553,0.44958,0.51294,0.7941
373.98374,0.48637,0.45239,0.43757,0.43637,0.44964,0.51201,0.79577
374.06822,0.48974,0.45467,0.43907,0.43725,0.44974,0.51111,0.79747
374.15273,0.4932,0.45703,0.44062,0.43816,0.44987,0.51024,0.79922
374.23729,0.49676,0.45945,0.44223,0.43912,0.45003,0.5094,0.80099
374.32188,0.50041,0.46195,0.44389,0.44012,0.45022,0.50858,0.8028
374.40651,0.50415,0.46452,0.4456,0.44116,0.45044,0.50779,0.80464
374.49118,0.508,0.46716,0.44737,0.44225,0.4507,0.50702,0.8065
374.57589,0.51195,0.46988,0.4492,0.44337,0.45099,0.50629,0.80838
374.66063,0.51601,0.47268,0.45109,0.44455,0.45131,0.50558,0.81028
374.74542,0.52018,0.47556,0.45303,0.44577,0.45166,0.5049,0.8122
374.83024,0.52445,0.47852,0.45504,0.44703,0.45205,0.50424,0.81413
374.9151,0.52884,0.48156,0.45711,0.44835,0.45248,0.50362,0.81607
375,0.53334,0.48469,0.45924,0.44971,0.45294,0.50302,0.81802
375.08494,0.53797,0.48791,0.46144,0.45113,0.45344,0.50245,0.81997
375.16991,0.54271,0.49122,0.4637,0.45259,0.45397,0.50192,0.82192
375.25493,0.54757,0.49463,0.46604,0.45411,0.45454,0.50141,0.82386
375.33998,0.55256,0.49812,0.46844,0.45567,0.45515,0.50092,0.82579
375.42507,0.55767,0.50172,0.47092,0.4573,0.4558,0.50047,0.82771
375.5102,0.56292,0.50542,0.47347,0.45898,0.45649,0.50005,0.82961
375.59537,0.56829,0.50921,0.47609,0.46071,0.45722,0.49966,0.83149
375.68058,0.5738,0.51311,0.4788,0.4625,0.45798,0.4993,0.83335
375.76583,0.57945,0.51712,0.48158,0.46436,0.45879,0.49897,0.83517
375.85111,0.58523,0.52124,0.48444,0.46627,0.45965,0.49867,0.83696
375.93644,0.59116,0.52546,0.48738,0.46824,0.46054,0.4984,0.83872
376.0218,0.59723,0.52981,0.49041,0.47028,0.46148,0.49817,0.84043
376.1072,0.60344,0.53426,0.49353,0.47238,0.46246,0.49796,0.84209
376.19264,0.6098,0.53884,0.49673,0.47455,0.46349,0.49779,0.8437
376.27812,0.61631,0.54354,0.50002,0.47679,0.46457,0.49765,0.84526
376.36364,0.62296,0.54836,0.50341,0.47909,0.46569,0.49754,0.84676
376.44919,0.62977,0.55331,0.50689,0.48147,0.46686,0.49747,0.8482
376.53479,0.63672,0.55839,0.51047,0.48392,0.46808,0.49743,0.84956
376.62042,0.64383,0.5636,0.51415,0.48644,0.46935,0.49742,0.85086
376.7061,0.65109,0.56894,0.51793,0.48904,0.47067,0.49745,0.85208
376.79181,0.6585,0.57442,0.52181,0.49171,0.47205,0.49751,0.85323
376.87756,0.66606,0.58004,0.5258,0.49447,0.47347,0.49761,0.85429
376.96335,0.67377,0.5858,0.5299,0.4973,0.47496,0.49774,0.85527
377.04918,0.68163,0.5917,0.53411,0.50022,0.47649,0.49791,0.85616
377.13505,0.68963,0.59775,0.53844,0.50323,0.47809,0.49812,0.85696
377.22096,0.69778,0.60394,0.54288,0.50632,0.47974,0.49837,0.85766
377.3069,0.70607,0.61028,0.54743,0.5095,0.48145,0.49865,0.85827
377.39289,0.7145,0.61678,0.55211,0.51277,0.48322,0.49897,0.85878
377.47891,0.72306,0.62342,0.55691,0.51614,0.48506,0.49933,0.85919
377.56498,0.73175,0.63021,0.56184,0.5196,0.48695,0.49973,0.85949
377.65108,0.74056,0.63716,0.56689,0.52316,0.48892,0.50017,0.85969
377.73723,0.74948,0.64427,0.57207,0.52681,0.49094,0.50065,0.85979
377.82341,0.75851,0.65152,0.57739,0.53057,0.49304,0.50117,0.85978
377.90963,0.76764,0.65894,0.58284,0.53443,0.4952,0.50174,0.85966
377.99589,0.77685,0.6665,0.58843,0.5384,0.49744,0.50234,0.85943
378.08219,0.78614,0.67422,0.59415,0.54248,0.49975,0.50299,0.8591
378.16853,0.79549,0.68208,0.60002,0.54667,0.50213,0.50369,0.85865
378.25491,0.8049,0.6901,0.60603,0.55097,0.50458,0.50443,0.8581
378.34133,0.81433,0.69826,0.61218,0.55539,0.50712,0.50521,0.85743
378.42779,0.82379,0.70657,0.61848,0.55992,0.50973,0.50604,0.85666
378.51429,0.83325,0.71502,0.62492,0.56458,0.51242,0.50692,0.85578
378.60082,0.84269,0.7236,0.63151,0.56936,0.51519,0.50785,0.8548
378.6874,0.8521,0.7323,0.63825,0.57426,0.51805,0.50882,0.85371
378.77402,0.86144,0.74114,0.64514,0.57929,0.521,0.50985,0.85252
378.86067,0.87071,0.75008,0.65218,0.58445,0.52403,0.51092,0.85122
378.94737,0.87987,0.75914,0.65937,0.58973,0.52715,0.51205,0.84982
379.0341,0.8889,0.76829,0.66671,0.59516,0.53037,0.51323,0.84833
379.12088,0.89777,0.77752,0.6742,0.60071,0.53367,0.51446,0.84674
379.20769,0.90645,0.78684,0.68183,0.60641,0.53708,0.51575,0.84506
379.29455,0.91492,0.79622,0.68961,0.61224,0.54058,0.5171,0.84328
379.38144,0.92315,0.80564,0.69754,0.61821,0.54418,0.5185,0.84142
379.46838,0.9311,0.8151,0.7056,0.62432,0.54788,0.51995,0.83948
379.55535,0.93875,0.82458,0.7138,0.63058,0.55169,0.52147,0.83745
379.64237,0.94606,0.83405,0.72213,0.63698,0.5556,0.52305,0.83534
379.72942,0.95301,0.8435,0.73058,0.64352,0.55963,0.52468,0.83315
379.81651,0.95956,0.85291,0.73916,0.65021,0.56376,0.52638,0.8309
379.90365,0.96568,0.86226,0.74785,0.65704,0.568,0.52815,0.82857
379.99082,0.97135,0.87152,0.75665,0.66402,0.57236,0.52998,0.82618
380.07804,0.97653,0.88067,0.76554,0.67114,0.57683,0.53187,0.82372
380.16529,0.98119,0.88968,0.77453,0.67841,0.58143,0.53383,0.82121
380.25258,0.98532,0.89852,0.78359,0.68582,0.58614,0.53586,0.81863
380.33992,0.98888,0.90717,0.79272,0.69336,0.59098,0.53796,0.81601
380.42729,0.99186,0.9156,0.8019,0.70105,0.59594,0.54013,0.81334
380.51471,0.99423,0.92377,0.81112,0.70887,0.60102,0.54238,0.81062
380.60216,0.99598,0.93166,0.82036,0.71682,0.60623,0.54469,0.80786
380.68966,0.99709,0.93924,0.82961,0.7249,0.61158,0.54709,0.80506
380.77719,0.99755,0.94646,0.83884,0.7331,0.61705,0.54956,0.80223
380.86477,0.99736,0.95331,0.84805,0.74141,0.62265,0.55211,0.79937
380.95238,0.99651,0.95975,0.8572,0.74984,0.62839,0.55474,0.79647
381.04004,0.995,0.96576,0.86628,0.75837,0.63426,0.55745,0.79355
381.12773,0.99283,0.97129,0.87526,0.76699,0.64027,0.56024,0.79061
381.21547,0.99001,0.97632,0.88412,0.77569,0.64641,0.56312,0.78766
381.30325,0.98654,0.98084,0.89284,0.78447,0.65269,0.56608,0.78468
381.39106,0.98245,0.9848,0.90137,0.79331,0.6591,0.56914,0.7817
381.47892,0.97774,0.98818,0.90971,0.80221,0.66565,0.57228,0.7787
381.56682,0.97243,0.99098,0.91782,0.81113,0.67233,0.57551,0.7757
381.65476,0.96655,0.99316,0.92567,0.82008,0.67915,0.57883,0.7727
381.74274,0.96012,0.99471,0.93323,0.82904,0.6861,0.58225,0.76969
381.83076,0.95317,0.99562,0.94048,0.83798,0.69318,0.58577,0.76669
381.91882,0.94572,0.99588,0.94737,0.8469,0.70039,0.58938,0.76369
382.00692,0.93781,0.99549,0.95389,0.85576,0.70773,0.59309,0.7607
382.09506,0.92946,0.99443,0.96,0.86455,0.71519,0.5969,0.75772
382.18324,0.92072,0.99272,0.96568,0.87325,0.72276,0.60082,0.75475
382.27147,0.9116,0.99035,0.97089,0.88183,0.73045,0.60483,0.7518
