Inputs,,,Output,,,,,
Wavelength (um),r1 (um),t1 (nm),Absorption,,,,,
389.64706,0.05,0.2,0.15246,,,,,
389.73876,0.05,0.2,0.15254,,,,,
389.83051,0.05,0.2,0.15263,,,,,
389.9223,0.05,0.2,0.15272,,,,,
390.01413,0.05,0.2,0.1528,,,,,
390.10601,0.05,0.2,0.15289,,,,,
390.19793,0.05,0.2,0.15299,,,,,
390.28989,0.05,0.2,0.15308,,,,,
390.3819,0.05,0.2,0.15317,,,,,
390.47394,0.05,0.2,0.15326,,,,,
390.56604,0.05,0.2,0.15336,,,,,
390.65817,0.05,0.2,0.15346,,,,,
390.75035,0.05,0.2,0.15355,,,,,
390.84258,0.05,0.2,0.15365,,,,,
390.93484,0.05,0.2,0.15376,,,,,
391.02715,0.05,0.2,0.15386,,,,,
391.11951,0.05,0.2,0.15396,,,,,
391.21191,0.05,0.2,0.15407,,,,,
391.30435,0.05,0.2,0.15417,,,,,
391.39683,0.05,0.2,0.15428,,,,,
391.48936,0.05,0.2,0.15439,,,,,
391.58193,0.05,0.2,0.1545,,,,,
391.67455,0.05,0.2,0.15461,,,,,
391.76721,0.05,0.2,0.15472,,,,,
391.85991,0.05,0.2,0.15484,,,,,
391.95266,0.05,0.2,0.15496,,,,,
392.04545,0.05,0.2,0.15508,,,,,
392.13829,0.05,0.2,0.1552,,,,,
392.23117,0.05,0.2,0.15532,,,,,
392.32409,0.05,0.2,0.15544,,,,,
392.41706,0.05,0.2,0.15557,,,,,
392.51007,0.05,0.2,0.1557,,,,,
392.60313,0.05,0.2,0.15582,,,,,
392.69623,0.05,0.2,0.15596,,,,,
392.78937,0.05,0.2,0.15609,,,,,
392.88256,0.05,0.2,0.15622,,,,,
392.97579,0.05,0.2,0.15636,,,,,
393.06907,0.05,0.2,0.1565,,,,,
393.16239,0.05,0.2,0.15664,,,,,
393.25576,0.05,0.2,0.15679,,,,,
393.34917,0.05,0.2,0.15693,,,,,
393.44262,0.05,0.2,0.15708,,,,,
393.53612,0.05,0.2,0.15723,,,,,
393.62966,0.05,0.2,0.15739,,,,,
393.72325,0.05,0.2,0.15754,,,,,
393.81688,0.05,0.2,0.1577,,,,,
393.91056,0.05,0.2,0.15786,,,,,
394.00428,0.05,0.2,0.15803,,,,,
394.09805,0.05,0.2,0.1582,,,,,
394.19186,0.05,0.2,0.15837,,,,,
394.28571,0.05,0.2,0.15854,,,,,
394.37961,0.05,0.2,0.15871,,,,,
394.47356,0.05,0.2,0.15889,,,,,
394.56755,0.05,0.2,0.15908,,,,,
394.66158,0.05,0.2,0.15926,,,,,
394.75566,0.05,0.2,0.15945,,,,,
394.84979,0.05,0.2,0.15964,,,,,
394.94395,0.05,0.2,0.15984,,,,,
395.03817,0.05,0.2,0.16004,,,,,
395.13243,0.05,0.2,0.16024,,,,,
395.22673,0.05,0.2,0.16045,,,,,
395.32108,0.05,0.2,0.16066,,,,,
395.41547,0.05,0.2,0.16088,,,,,
395.50991,0.05,0.2,0.1611,,,,,
395.6044,0.05,0.2,0.16132,,,,,
395.69892,0.05,0.2,0.16155,,,,,
395.7935,0.05,0.2,0.16179,,,,,
395.88812,0.05,0.2,0.16202,,,,,
395.98278,0.05,0.2,0.16227,,,,,
396.07749,0.05,0.2,0.16252,,,,,
396.17225,0.05,0.2,0.16277,,,,,
396.26705,0.05,0.2,0.16303,,,,,
396.3619,0.05,0.2,0.1633,,,,,
396.45679,0.05,0.2,0.16357,,,,,
396.55172,0.05,0.2,0.16385,,,,,
396.64671,0.05,0.2,0.16413,,,,,
396.74173,0.05,0.2,0.16442,,,,,
396.83681,0.05,0.2,0.16472,,,,,
396.93193,0.05,0.2,0.16502,,,,,
397.02709,0.05,0.2,0.16533,,,,,
397.1223,0.05,0.2,0.16565,,,,,
397.21756,0.05,0.2,0.16598,,,,,
397.31286,0.05,0.2,0.16631,,,,,
397.40821,0.05,0.2,0.16665,,,,,
397.5036,0.05,0.2,0.167,,,,,
397.59904,0.05,0.2,0.16736,,,,,
397.69452,0.05,0.2,0.16773,,,,,
397.79006,0.05,0.2,0.16811,,,,,
397.88563,0.05,0.2,0.1685,,,,,
397.98125,0.05,0.2,0.16889,,,,,
